Provincia,Partido,Localidad,Link Indec,Otros,Total general,less than 1 Mbps,"b'ween 1 and 10,2 Mbps",b'ween 11 and 27 Mbps,b'ween 30 and 58 Mbps,b'ween 59 and 120 Mbps,b'ween 122 and 256 Mbps,b'ween 275 and 540 Mbps,b'ween 600 and 1024 Mbps
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,0.0,6208.0,21.0,900.0,5141.0,134.0,12.0,0.0,0.0,0.0
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,0.0,59.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,25 de Mayo,Del Valle,6854020,0.0,192.0,1.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,25 de Mayo,Ernestina,6854030,0.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,0.0,181.0,0.0,180.0,0.0,0.0,1.0,0.0,0.0,0.0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,0.0,1282.0,0.0,1106.0,175.0,1.0,0.0,0.0,0.0,0.0
BUENOS AIRES,25 de Mayo,Pedernales,6854070,0.0,575.0,0.0,572.0,3.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,25 de Mayo,San Enrique,6854080,0.0,97.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,25 de Mayo,Valdés,6854090,0.0,166.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100,10206.0,14528.0,9.0,836.0,136.0,621.0,1323.0,0.0,1395.0,2.0
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,0.0,510.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,9 de Julio,Dudignac,6588040,0.0,378.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,0.0,203.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,9 de Julio,Patricios,6588110,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,118.0,160.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,0.0,2483.0,0.0,952.0,1231.0,267.0,33.0,0.0,0.0,0.0
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,0.0,208.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,0.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10.0,406.0,2.0,392.0,2.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,0.0,1202.0,0.0,1155.0,23.0,24.0,0.0,0.0,0.0,0.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,0.0,1810.0,3.0,716.0,1046.0,45.0,0.0,0.0,0.0,0.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,0.0,717.0,0.0,712.0,5.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,0.0,472.0,2.0,167.0,302.0,0.0,1.0,0.0,0.0,0.0
BUENOS AIRES,Alberti,Mechita,6021030,0.0,285.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
BUENOS AIRES,Almirante Brown,Adrogué,6028010,0.0,21197.0,46.0,543.0,166.0,12196.0,4303.0,578.0,3261.0,104.0
BUENOS AIRES,Almirante Brown,Burzaco,6028010,51.0,28521.0,34.0,1439.0,114.0,11782.0,9324.0,2243.0,3043.0,491.0
BUENOS AIRES,Almirante Brown,Claypole,6028010,0.0,11840.0,2.0,482.0,37.0,4220.0,4603.0,1215.0,1091.0,190.0
BUENOS AIRES,Almirante Brown,Don Orione,6028010,0.0,5408.0,0.0,378.0,27.0,20.0,3479.0,1043.0,288.0,173.0
BUENOS AIRES,Almirante Brown,Glew,6028010,1.0,20119.0,12.0,427.0,51.0,11909.0,4913.0,1374.0,1183.0,249.0
